#gene(s)	chrmosome	start_cnv_region	stop_cnv_region	gene_start	gene_end
MTOR	chr1	1167521	21227594	11167521	11227594
NTRK1	chr1	146785601	166851642	156785601	156851642
MYCN	chr2	6080688	26086239	16080688	16086239
ALK	chr2	19416069	40143545	29416069	30143545
FGFR3	chr4	-8204359	11809009	1795641	1809009
PDGFRA	chr4	45124915	65161459	55124915	55161459
KIT	chr4	45524161	65604743	55524161	55604743
FGFR4	chr5	166516583	186524697	176516583	176524697
EGFR	chr7	45086950	65273330	55086950	55273330
CDK6	chr7	82244433	102462657	92244433	92462657
MET	chr7	106312611	126436198	116312611	116436198
BRAF	chr7	130434376	150624523	140434376	140624523
FGFR1	chr8	28271125	48325209	38271125	38325209
MYC	chr8	118748819	138753224	128748819	128753224
CDKN2A	chr9	11968207	31994350	21968207	21994350
NTRK2	chr9	77285643	97636372	87285643	87636372
PTEN	chr10	79623686	99725324	89623686	89725324
FGFR2	chr10	113239074	133357495	123239074	123357495
KRAS	chr12	15362708	35398338	25362708	25398338
CDK4	chr12	48144418	68145520	58144418	58145520
MDM2	chr12	59202237	79233649	69202237	69233649
NTRK3	chr15	78420145	98799404	88420145	88799404
ERBB2	chr17	27855792	47884317	37855792	37884317
C19MC	chr19	44169876	64266435	54169876	54266435
AR	chrX	56764968	76943703	66764968	66943703
