>EML4_ENST00000318522.5,chr2:42396490-42559688
1,42396490,42396776
2,42472645,42472827
3,42483641,42483770
4,42488261,42488434
5,42490318,42490446
6,42491846,42491871
7,42507990,42508113
8,42509963,42510112
9,42511774,42511843
10,42513409,42513519
11,42515367,42515462
12,42522265,42522399
13,42522521,42522656
14,42528381,42528532
15,42530244,42530369
16,42530455,42530586
17,42531624,42531691
18,42543102,42543190
19,42544567,42544664
20,42552607,42552694
21,42553294,42553392
22,42556026,42556156
23,42556874,42559688

>ALK_ENST00000389048.3,chr2:29415640-30144432
1,30142859,30144432
2,29940444,29940563
3,29917716,29917880
4,29754781,29754982
5,29606598,29606725
6,29551216,29551347
7,29543617,29543748
8,29541170,29541270
9,29519754,29519923
10,29498268,29498362
11,29497965,29498093
12,29473971,29474133
13,29462546,29462696
14,29456431,29456562
15,29455170,29455314
16,29451750,29451932
17,29450440,29450538
18,29449788,29449940
19,29448327,29448431
20,29446208,29446394
21,29445383,29445473
22,29445210,29445274
23,29443572,29443701
24,29436850,29436947
25,29432652,29432744
26,29430037,29430138
27,29420408,29420542
28,29419636,29419726
29,29415640,29416788

>KIF5B_ENST00000302418.4,chr10:32297938-32345359
1,32344776,32345359
2,32337392,32337479
3,32329312,32329385
4,32328255,32328359
5,32327706,32327754
6,32327091,32327146
7,32326448,32326535
8,32326182,32326306
9,32324818,32324922
10,32324450,32324595
11,32323618,32323766
12,32322773,32322966
13,32321634,32321702
14,32320001,32320207
15,32317356,32317499
16,32311776,32311964
17,32311068,32311185
18,32310154,32310215
19,32309950,32310059
20,32308786,32308887
21,32307430,32307490
22,32307244,32307315
23,32306980,32307084
24,32306071,32306287
25,32304437,32304587
26,32297938,32300444

>NPM1_ENST00000296930.5,chr5:170814120-170838141
1,170814652,170815010
2,170817055,170817134
3,170818309,170818428
4,170818710,170818803
5,170819714,170819820
6,170819918,170819982
7,170827157,170827214
8,170827843,170827929
9,170832306,170832407
10,170834704,170834778
11,170837531,170838141

>CARS_ENST00000397111.5,chr11:3022152-3078843
1,3078573,3078843
2,3063395,3063486
3,3062126,3062214
4,3061065,3061161
5,3060424,3060522
6,3059280,3059429
7,3050533,3050673
8,3050226,3050314
9,3047906,3048027
10,3041450,3041562
11,3040369,3040497
12,3039850,3039979
13,3039638,3039741
14,3039087,3039184
15,3038336,3038525
16,3037011,3037079
17,3033425,3033506
18,3028109,3028189
19,3026596,3026663
20,3023771,3023830
21,3023200,3023283
22,3022152,3022478

>CLTC_ENST00000269122.3,chr17:57697219-57773671
1,57697219,57697534
2,57721637,57721844
3,57724759,57725027
4,57725601,57725762
5,57728564,57728677
6,57733215,57733388
7,57737752,57737949
8,57738804,57739004
9,57741203,57741355
10,57742148,57742270
11,57743464,57743601
12,57743841,57744005
13,57744158,57744338
14,57746138,57746301
15,57751008,57751133
16,57752062,57752204
17,57754315,57754549
18,57756758,57756880
19,57758273,57758418
20,57758656,57758839
21,57759008,57759200
22,57759632,57759789
23,57759990,57760154
24,57760268,57760375
25,57760456,57760623
26,57760748,57760897
27,57760986,57761117
28,57761236,57761346
29,57762417,57762587
30,57762948,57763169
31,57767997,57768072
32,57771089,57773671

>RANBP2_ENST00000283195.6,chr2:109335937-109402267
1,109335937,109336134
2,109345588,109345655
3,109347230,109347341
4,109347778,109347930
5,109351988,109352218
6,109352560,109352705
7,109356945,109357137
8,109363167,109363254
9,109365376,109365585
10,109367720,109367901
11,109367984,109368159
12,109368327,109368450
13,109369454,109369615
14,109369882,109370019
15,109370281,109370427
16,109371361,109371540
17,109371632,109371715
18,109374869,109375004
19,109378557,109378651
20,109379693,109384844
21,109388157,109388327
22,109388945,109389037
23,109389324,109389502
24,109392188,109392392
25,109393586,109393687
26,109397725,109397885
27,109398584,109398857
28,109398984,109399318
29,109400052,109402267

>ATIC_ENST00000236959.9,chr2:216176540-216214487
1,216176540,216176884
2,216177221,216177347
3,216182880,216182956
4,216184388,216184454
5,216189964,216190052
6,216190710,216190861
7,216191545,216191701
8,216197105,216197230
9,216198073,216198180
10,216199642,216199727
11,216200758,216200847
12,216203502,216203630
13,216209502,216209594
14,216211482,216211664
15,216213817,216213972
16,216214259,216214486

>STRN_ENST00000263918.4,chr2:37070783-37193615
1,37193373,37193615
2,37152248,37152351
3,37143221,37143294
4,37132683,37132761
5,37129727,37129894
6,37126666,37126801
7,37121041,37121176
8,37113859,37113969
9,37111075,37111218
10,37105034,37105170
11,37096697,37096872
12,37094957,37095004
13,37088275,37088396
14,37084999,37085166
15,37082355,37082495
