#gene(s)	chrmosome	start_cnv_region	stop_cnv_region	gene_start	gene_end
CDKN2A,CDKN2B	chr9	19645616	24999617	21968208	22008973
BRCA2	chr13	28992711	36073116	32314868	32399035
BRCA1	chr17	40331198	45908370	43045088	43124761
PTEN	chr10	84518634	90670594	87863929	87965567
BAP1	chr3	49421580	55247694	52402267	52409898
FAT1	chr4	183369583	189515045	186588571	186709847
MCPH1	chr8	3552121	9355030	6406647	6499949
TSC1	chr9	130133570	135770915	132896214	132928892
ATM	chr11	105610851	111207791	108227604	108365528
RB1	chr13	45423110	51222807	48303892	48480091
SPRED1	chr15	35130372	41248872	38204322	38351684
TSC2	chr16	82410	6090578	2048249	2088630
PALB2	chr16	20636498	26565078	23603438	23641177
CDH1	chr16	65787589	72175720	68737395	68833519
FANCA	chr16	86958539	90028969	89742779	89816635
TP53	chr17	4735088	10674817	7669588	7676614
NF1	chr17	28326761	34453841	31095289	31374175
RAD51C	chr17	55741317	61598120	58692623	58734242
